,subject,predicate,object
4681,Freedom House,ranks,second best rank
4682,Freedom House,ranks,second rank of four in Economist Intelligence Unit
4683,Freedom House,ranks Singapore in,Report
4684,Freedom House,ranks,rank of four
4685,Freedom House,ranks,best rank
4686,Freedom House,ranks,Singapore
4687,Freedom House,ranks,rank of four in Economist Intelligence Unit
4688,Freedom House,ranks,second best rank of four
4689,Freedom House,ranks,best rank of four
4690,Economist Intelligence Unit,ranks Singapore as,democracy
4691,Freedom House,ranks Singapore as,free
4692,Freedom House,ranks,rank
4693,Freedom House,ranks rank in,Report
4694,Freedom House,ranks,best rank of four in Economist Intelligence Unit
4695,Freedom House,ranks,second rank
4696,Economist Intelligence Unit,ranks Singapore as,flawed democracy
4697,Freedom House,ranks,best rank in Economist Intelligence Unit
4698,Freedom House,ranks,rank in Economist Intelligence Unit
4699,second best rank,is in,Economist Intelligence Unit
4700,Freedom House,ranks rank as,free
4701,Freedom House,ranks,second rank in Economist Intelligence Unit
4702,Economist Intelligence Unit,ranks,Singapore
4703,Freedom House,ranks,second rank of four
4704,Freedom House,ranks,second best rank of four in Economist Intelligence Unit
4705,People,has,Action Party
4706,People,'s Party is,PAP
4707,People 's Action Party,won,83 of 89 seats
4708,People 's Action Party,won,83 of 89 seats contested with 70 %
4709,People 's Action Party,won,83 of 89 seats contested with 70 % of vote
4710,People 's Action Party,won,83 of 89 seats contested with 70 % of popular vote
4711,People 's Action Party,won,83 of 89 seats contested
4712,People,'s Party is,PAP
4713,elections,were in,July 2020
4714,July 2020,is with,People 's Action Party winning
4715,People,with,Action Party winning
4716,latest elections,were in,July 2020 with People 's Action Party
4717,latest elections,were in,July 2020
4718,elections,were in,July 2020 with People 's Action Party
4719,Singapore system conflict,is with,right presumed
4720,government,has disputed,Amnesty 's claims
4721,Amnesty,has,claims
4722,government,position on,abolition
4723,government,position on,abolition of death penalty
4724,Singapore 's system,is considered,one of most reliable in Asia
4725,Singapore 's system,is considered,one of most reliable
4726,Singapore 's system,is considered,one reliable in Asia
4727,Singapore 's judicial system,is considered,one reliable
4728,Singapore 's system,is considered,one reliable
4729,Singapore 's judicial system,is considered,one of reliable in Asia
4730,Singapore 's judicial system,is considered,one of reliable
4731,Singapore 's system,is,considered
4732,Singapore 's judicial system,is,considered
4733,Singapore 's system,is considered,one most reliable in Asia
4734,Singapore 's system,is considered,one of reliable in Asia
4735,Singapore 's judicial system,is considered,one of most reliable
4736,Singapore 's system,is considered,one of reliable
4737,Singapore 's judicial system,is considered,one of most reliable in Asia
4738,Singapore 's system,is considered,one most reliable
4739,Singapore 's judicial system,is considered,one reliable in Asia
4740,Singapore,has,judicial system
4741,Singapore 's judicial system,is considered,one most reliable
4742,Singapore 's judicial system,is considered,one most reliable in Asia
4743,trafficking,is,significant
4744,Sex trafficking,is,problem
4745,Sex trafficking,is in,Singapore
4746,Sex trafficking,is,significant problem
4747,Singaporean women,have,have forced into prostitution
4748,women,have,have forced in brothels
4749,Singaporean women,have,have forced into prostitution in brothels
4750,women,have,have forced into prostitution
4751,women,have,have forced
4752,Singaporean women,have,have forced in brothels
4753,women,have,have forced into prostitution in brothels
4754,Singaporean women,have,have forced
4755,law,is,enforced
4756,law,is,however rarely enforced
4757,law,is,rarely enforced
4758,law,is,however enforced
4759,Sexual relations,are,legal
4760,relations,are,legal
4761,Singapore,has ranked In,Corruption Perceptions Index
4762,Singapore,has consistently ranked as,one least corrupt
4763,Singapore,has ranked as,one of least corrupt
4764,Singapore,has ranked as,one least corrupt
4765,Singapore,has consistently ranked In,Corruption Perceptions Index
4766,Singapore,has consistently ranked as,one corrupt
4767,Singapore,has consistently ranked as,one of corrupt
4768,Singapore,has ranked as,one corrupt
4769,Singapore,has ranked as,one of corrupt
4770,Singapore,has consistently ranked as,one of least corrupt
4771,Singapore,behind,political stability
4772,Singapore 's unique combination,is regarded as,key factor
4773,Singapore 's combination,is regarded as,key factor
4774,Singapore 's unique combination,is regarded as,factor
4775,Singapore 's combination,is regarded as,factor behind Singapore 's stability
4776,Singapore 's unique combination,is,known
4777,Singapore 's combination,is regarded as,key factor behind Singapore 's political stability
4778,Singapore 's combination,is,regarded
4779,Singapore 's combination,is regarded as,factor behind Singapore 's political stability
4780,Singapore 's unique combination,is with,emphasis on meritocracy
4781,Singapore 's unique combination,is regarded as,factor behind Singapore 's political stability
4782,Singapore 's unique combination,is,regarded
4783,Singapore 's unique combination,is known as,Singapore model
4784,Singapore 's unique combination,is regarded as,key factor behind Singapore 's stability
4785,Singapore 's combination,is,known
4786,Singapore 's combination,is regarded as,factor
4787,Singapore 's unique combination,is regarded as,factor behind Singapore 's stability
4788,Singapore,has,unique combination of strong almost authoritarian government with emphasis on meritocracy
4789,Singapore 's unique combination,is regarded as,key factor behind Singapore 's political stability
4790,Singapore 's combination,is known as,Singapore model
4791,Singapore 's combination,is regarded as,key factor behind Singapore 's stability
4792,World Justice Project 's Rule,ranked Singapore as,13th overall
4793,World Justice Project 's Rule,ranked Singapore as,overall among world 's 126 countries
4794,world,among,126 countries
4795,World Justice Project 's Rule,ranked Singapore as,overall
4796,World Justice Project 's Rule,ranked Singapore as,13th overall among world 's 126 countries
4797,World Justice Project 's Rule,ranked,Singapore
4798,World Justice Project 's Rule,ranked Singapore for,adherence to rule of law
4799,World Justice Project,has,Rule of Law Index
4800,World Justice Project 's Rule,ranked Singapore In,2019
4801,World Justice Project 's Rule,ranked Singapore for,adherence to rule
4802,World Justice Project 's Rule,ranked Singapore for,adherence
4803,Singapore,ranked on,factors
4804,Singapore,ranked on,factors of order
4805,Singapore,ranked high on,factors of order
4806,Singapore,ranked high on,factors
4807,public gatherings,require,police permits
4808,protests,be,may legally held at Speakers ' Corner
4809,protests,be,may legally held only at Speakers ' Corner
4810,protests,be,may legally held
4811,protests,be,may held
4812,protests,be,may held only at Speakers ' Corner
4813,protests,be,may held at Speakers ' Corner
4814,Singapore,consists of,63 islands including island
4815,Singapore,consists of,63 islands
4816,Singapore,consists of,63 islands including main island
4817,Woodlands 1st Link,is in,north
4818,Tuas 2nd Link,is in,west
4819,Jurong Island,are largest of,Singapore 's islands
4820,Pulau Tekong,are,largest of Singapore 's islands
4821,Pulau Tekong,are,largest of Singapore 's smaller islands
4822,Pulau Tekong,are,largest
4823,Jurong Island,are,largest of Singapore 's islands
4824,Sentosa,are largest of,Singapore 's smaller islands
4825,Pulau Ubin,are largest of,Singapore 's islands
4826,Pulau Ubin,are,largest
4827,Pulau Ubin,are,largest of Singapore 's islands
4828,Singapore,of,smaller islands
4829,Sentosa,are largest of,Singapore 's islands
4830,Jurong Island,are,largest of Singapore 's smaller islands
4831,Pulau Ubin,are,largest of Singapore 's smaller islands
4832,Pulau Tekong,are largest of,Singapore 's islands
4833,Pulau Ubin,are largest of,Singapore 's smaller islands
4834,Jurong Island,are,largest
4835,Jurong Island,are largest of,Singapore 's smaller islands
4836,Pulau Tekong,are largest of,Singapore 's smaller islands
4837,Sentosa,are,largest
4838,point,is,Bukit Timah Hill
4839,highest natural point,is,Bukit Timah Hill
4840,highest point,is,Bukit Timah Hill at 163.63 m
4841,point,is,Bukit Timah Hill at 163.63 m
4842,natural point,is,Bukit Timah Hill
4843,highest natural point,is,Bukit Timah Hill at 163.63 m
4844,highest point,is,Bukit Timah Hill
4845,natural point,is,Bukit Timah Hill at 163.63 m
4846,Singapore,has,easternmost point
4847,Pedra Branca,is,Singapore 's point
4848,Pedra Branca,is,Singapore 's easternmost point
4849,580 km2,is in,1960s 710 km2
4850,Land reclamation projects,had increased,Singapore 's land area
4851,Singapore,has,land area
4852,1960s 710 km2,in km2 is,220 sq mi
4853,country,reclaim,20 sq mi
4854,country,is,projected
4855,projects,merging,smaller islands
4856,projects,merging islands,has done
4857,projects,merging islands,has done with Jurong Island
4858,projects,merging,islands
4859,projects,merging islands through,land reclamation
4860,sand,type of is,great demand worldwide
4861,sand,type of is,demand worldwide
4862,sand,type of is,great demand
4863,type,is in,great demand
4864,type,is found in,rivers
4865,type,is in,demand worldwide
4866,type,is found rather than,deserts
4867,type,is in,great demand worldwide
4868,type,is,found
4869,type,is in,demand
4870,sand,type of is,demand
4871,area,is,enclosed
4872,area,pumped,dry
4873,occurring fauna,is in,Singapore
4874,Singapore,has,urbanisation
4875,Singapore,has,urbanisation
4876,Singapore 's urbanisation,lost,95 %
4877,half,is present in,nature reserves
4878,Singapore,of,land area
4879,Singapore,of,urbanisation historical forests
4880,half,is,present
4881,government,introduced,vision making
4882,decline,is in,natural space
4883,government,combat,decline in space
4884,government,combat,decline
4885,government,combat,decline in natural space
4886,plans,preserve,country 's remaining wildlife
4887,plans,preserve,country 's wildlife
4888,country,has,remaining wildlife
4889,Singapore 's gardens,include,161-year-old tropical garden
4890,Singapore 's known gardens,include,garden
4891,Singapore 's gardens,include,garden
4892,Singapore 's known gardens,include,tropical garden
4893,Singapore 's known gardens,include,Singapore Botanic Gardens
4894,Singapore 's gardens,include,161-year-old garden
4895,Singapore 's gardens,include,Singapore Botanic Gardens
4896,Singapore 's gardens,include,tropical garden
4897,Singapore,has,first UNESCO World Heritage Site
4898,Singapore,has,well known gardens
4899,Singapore 's known gardens,include,161-year-old tropical garden
4900,Singapore 's known gardens,include,161-year-old garden
4901,tropical rainforest climate,is with,distinctive seasons
4902,haze,caused by,bush fires IndonesiaIndonesia usually Jurong Island
4903,haze,caused by,fires IndonesiaIndonesia usually Jurong Island
4904,haze,is From,July
4905,haze,caused by,fires usually Jurong Island
4906,haze,caused by,bush fires IndonesiaIndonesia Jurong Island
4907,haze,caused by,fires IndonesiaIndonesia Jurong Island
4908,haze,caused by,fires IndonesiaIndonesia
4909,haze,caused by,bush fires usually Jurong Island
4910,haze,caused by,fires Jurong Island
4911,haze,caused by,bush fires
4912,haze,caused by,bush fires IndonesiaIndonesia
4913,haze,is From,July to October
4914,haze,caused by,bush fires Jurong Island
4915,bush fires,is in,IndonesiaIndonesia
4916,haze,caused by,fires
4917,Singapore,follows,GMT +8 time zone one hour ahead of zone for GMT +8 time zone location
4918,Singapore,follows,GMT +8 time zone one hour ahead of typical zone for GMT +8 time zone geographical location
4919,Singapore,follows,GMT +8 time zone one hour ahead of typical zone
4920,Singapore,follows,GMT +8 time zone ahead of zone for GMT +8 time zone geographical location
4921,Singapore,follows,GMT +8 time zone ahead of typical zone
4922,Singapore,follows,GMT +8 time zone ahead of zone for GMT +8 time zone location
4923,Singapore,follows,GMT +8 time zone ahead of typical zone for GMT +8 time zone location
4924,Singapore,follows,GMT +8 time zone ahead
4925,Singapore,follows,GMT +8 time zone one hour ahead
4926,Singapore,follows,GMT +8 time zone ahead of typical zone for GMT +8 time zone geographical location
4927,Singapore,follows,GMT +8 time zone one hour ahead of typical zone for GMT +8 time zone location
4928,Singapore,follows,GMT +8 time zone one hour ahead of zone
4929,Singapore,follows,GMT +8 time zone ahead of zone
4930,Singapore,follows,GMT +8 time zone one hour ahead of zone for GMT +8 time zone geographical location
4931,Singapore,follows,GMT +8 time zone
4932,sun,sets around,7:20 pm
4933,sun,rises am at,7:15
4934,sun,rises at,7:15
4935,sun,rise late during,February
4936,sun,rise particularly late during,February
4937,sun,rise during,February
4938,sun,sets at,around 7:15 pm
4939,sun,sets During,July
4940,sun,rises am at,6:46
4941,sun,rises at,6:46
4942,earliest,is in,October
4943,sun,sets at,6:50 pm
4944,earliest,is in,late October
4945,climate change,have,major implications for its coastline
4946,sea levels,have,major implications for its coastline
4947,sea levels,ahead have,major implications
4948,rising sea levels,implications for,its low-lying coastline
4949,rising sea levels,have,major implications
4950,rising sea levels,ahead have,implications for its coastline
4951,sea levels,major implications for,its low-lying coastline
4952,change,is in,decades
4953,climate change,ahead have,implications for its coastline
4954,sea levels,have,major implications
4955,climate change,ahead have,major implications for its coastline
4956,sea levels,have,implications
4957,rising sea levels,ahead have,major implications
4958,climate change,have,implications
4959,sea levels,ahead have,implications for its low-lying coastline
4960,sea levels,ahead have,major implications for its coastline
4961,rising sea levels,ahead have,implications
4962,climate change,have,major implications
4963,climate change,have,implications for its low-lying coastline
4964,climate change,ahead have,implications for its low-lying coastline
4965,rising sea levels,ahead have,major implications for its coastline
4966,rising sea levels,implications for,its coastline
4967,rising sea levels,have,implications for its coastline
4968,rising sea levels,ahead have,implications for its low-lying coastline
4969,climate change,ahead have,major implications for its low-lying coastline
4970,sea levels,implications for,its coastline
4971,climate change,have,major implications for its low-lying coastline
4972,sea levels,ahead have,major implications for its low-lying coastline
4973,climate change,ahead have,implications
4974,sea levels,ahead have,implications
4975,rising sea levels,have,major implications for its low-lying coastline
4976,climate change,ahead have,major implications
4977,sea levels,have,implications for its coastline
4978,sea levels,have,implications for its low-lying coastline
4979,sea levels,have,major implications for its low-lying coastline
4980,rising sea levels,have,implications
4981,climate change,have,implications for its coastline
4982,rising sea levels,have,major implications for its coastline
4983,rising sea levels,ahead have,major implications for its low-lying coastline
4984,rising sea levels,major implications for,its coastline
4985,rising sea levels,major implications for,its low-lying coastline
4986,sea levels,ahead have,implications for its coastline
4987,rising sea levels,have,implications for its low-lying coastline
4988,sea levels,implications for,its low-lying coastline
4989,sea levels,major implications for,its coastline
4990,Singapore,spend,$ 100 billion
4991,government,set aside,initial $ 5 billion
4992,government,set,$ 5 billion
4993,government,set,initial $ 5 billion
4994,government,set aside,$ 5 billion
4995,first country,is in,Southeast Asia
4996,other initiatives,building,one world 's farms at Tengeh Reservoir
4997,world,of,largest floating solar farms at Tengeh Reservoir in Tuas
4998,initiatives,building,one world 's farms at Tengeh Reservoir
4999,other initiatives,building,one world 's largest floating solar farms
5000,country,reduce,country 's dependence on fossil fuels
5001,initiatives,building,one world 's largest floating farms
5002,other initiatives,building,one of world 's solar farms at Tengeh Reservoir in Tuas
5003,initiatives,building,one world 's largest farms
5004,other initiatives,building,one world 's floating farms at Tengeh Reservoir in Tuas
5005,initiatives,building,one world 's largest farms at Tengeh Reservoir in Tuas
5006,initiatives,building,one world 's solar farms at Tengeh Reservoir
5007,other initiatives,building,one of world 's floating solar farms at Tengeh Reservoir
5008,initiatives,building,one of world 's floating solar farms at Tengeh Reservoir in Tuas
5009,other initiatives,building,one world 's largest solar farms at Tengeh Reservoir
5010,other initiatives,building,one world 's largest floating farms
5011,other initiatives,building,one of world 's largest floating farms at Tengeh Reservoir in Tuas
5012,initiatives,building,one of world 's floating solar farms at Tengeh Reservoir
5013,initiatives,building,one world 's floating farms
5014,initiatives,building,one of world 's largest solar farms at Tengeh Reservoir in Tuas
5015,country,has ramped up,deployment of panels on rooftops
5016,initiatives,building,one of world 's largest solar farms at Tengeh Reservoir
5017,other initiatives,building,one world 's floating farms at Tengeh Reservoir
5018,other initiatives,building,one of world 's farms
5019,initiatives,building,one of world 's largest floating solar farms
5020,other initiatives,building,one world 's floating solar farms at Tengeh Reservoir
5021,other initiatives,building,one world 's floating solar farms at Tengeh Reservoir in Tuas
5022,country,reduce,country 's dependence
5023,country,has,dependence on fossil fuels
5024,other initiatives,building,one of world 's floating farms at Tengeh Reservoir in Tuas
5025,initiatives,building,one world 's largest floating solar farms at Tengeh Reservoir
5026,initiatives,building,one world 's solar farms at Tengeh Reservoir in Tuas
5027,other initiatives,building,one of world 's farms at Tengeh Reservoir
5028,other initiatives,building,one world 's largest solar farms
5029,initiatives,building,one of world 's largest farms
5030,initiatives,building,one world 's largest floating farms at Tengeh Reservoir
5031,initiatives,building,one world 's largest farms at Tengeh Reservoir
5032,country,has ramped up,deployment of solar panels on rooftops
5033,other initiatives,building,one world 's floating solar farms
5034,initiatives,building,one world 's farms at Tengeh Reservoir in Tuas
5035,other initiatives,building,one world 's solar farms
5036,other initiatives,building,one of world 's floating solar farms
5037,initiatives,building,one of world 's solar farms
5038,other initiatives,building,one of world 's largest floating solar farms at Tengeh Reservoir in Tuas
5039,other initiatives,building,one world 's largest floating solar farms at Tengeh Reservoir
5040,other initiatives,building,one of world 's floating farms at Tengeh Reservoir
5041,initiatives,building,one of world 's largest solar farms
5042,other initiatives,building,one of world 's floating solar farms at Tengeh Reservoir in Tuas
5043,initiatives,building,one of world 's largest farms at Tengeh Reservoir in Tuas
5044,other initiatives,building,one world 's largest floating farms at Tengeh Reservoir in Tuas
5045,country,has ramped up,deployment
5046,other initiatives,building,one world 's largest farms
5047,initiatives,building,one world 's largest floating farms at Tengeh Reservoir in Tuas
5048,initiatives,building,one world 's floating solar farms at Tengeh Reservoir in Tuas
5049,initiatives,building,one world 's floating solar farms
5050,country,deployment on,rooftops
5051,other initiatives,building,one of world 's solar farms at Tengeh Reservoir
5052,initiatives,building,one of world 's largest floating farms at Tengeh Reservoir in Tuas
5053,other initiatives,building,one of world 's largest solar farms
5054,other initiatives,building,one of world 's largest farms
5055,initiatives,building,one world 's largest solar farms at Tengeh Reservoir in Tuas
5056,other initiatives,building,one of world 's largest farms at Tengeh Reservoir in Tuas
5057,country,has ramped up,deployment of panels on rooftops of buildings
5058,other initiatives,building,one of world 's solar farms
5059,initiatives,building,one of world 's floating solar farms
5060,initiatives,building,one world 's solar farms
5061,initiatives,building,one of world 's solar farms at Tengeh Reservoir
5062,other initiatives,building,one world 's largest floating solar farms at Tengeh Reservoir in Tuas
5063,country,has ramped up,deployment of solar panels
5064,other initiatives,building,one world 's largest farms at Tengeh Reservoir in Tuas
5065,country,deployment of,panels
5066,initiatives,building,one world 's largest solar farms
5067,other initiatives,building,one world 's farms
5068,initiatives,building,one of world 's largest floating solar farms at Tengeh Reservoir
5069,other initiatives,building,one of world 's largest floating solar farms
5070,initiatives,building,one world 's floating farms at Tengeh Reservoir in Tuas
5071,country,has ramped up,deployment of panels
5072,other initiatives,building,one world 's largest farms at Tengeh Reservoir
5073,initiatives,building,one of world 's largest floating farms at Tengeh Reservoir
5074,other initiatives,building,one of world 's largest floating farms at Tengeh Reservoir
5075,initiatives,building,one of world 's farms
5076,other initiatives,building,one of world 's largest solar farms at Tengeh Reservoir
5077,other initiatives,building,one world 's solar farms at Tengeh Reservoir
5078,other initiatives,building,one of world 's largest floating solar farms at Tengeh Reservoir
5079,country,has ramped up,deployment on rooftops
5080,initiatives,building,one world 's floating solar farms at Tengeh Reservoir
5081,initiatives,building,one of world 's floating farms
5082,initiatives,building,one world 's largest solar farms at Tengeh Reservoir
5083,other initiatives,building,one of world 's farms at Tengeh Reservoir in Tuas
5084,initiatives,building,one world 's largest floating solar farms at Tengeh Reservoir in Tuas
5085,initiatives,building,one of world 's largest floating farms
5086,other initiatives,building,one world 's farms at Tengeh Reservoir in Tuas
5087,country,has ramped up,deployment on rooftops of buildings
5088,other initiatives,building,one world 's largest floating farms at Tengeh Reservoir
5089,country,deployment of,solar panels
5090,initiatives,building,one of world 's floating farms at Tengeh Reservoir
5091,country,has ramped up,deployment of solar panels on rooftops of buildings
5092,other initiatives,building,one of world 's floating farms
5093,initiatives,building,one of world 's solar farms at Tengeh Reservoir in Tuas
5094,initiatives,building,one of world 's largest floating solar farms at Tengeh Reservoir in Tuas
5095,other initiatives,building,one of world 's largest solar farms at Tengeh Reservoir in Tuas
5096,initiatives,building,one world 's floating farms at Tengeh Reservoir
5097,initiatives,building,one world 's farms
5098,other initiatives,building,one world 's solar farms at Tengeh Reservoir in Tuas
5099,other initiatives,building,one world 's largest solar farms at Tengeh Reservoir in Tuas
5100,other initiatives,building,one of world 's largest farms at Tengeh Reservoir
5101,Tengeh Reservoir,is in,Tuas
5102,country,reduce,country 's dependence on fuels
5103,other initiatives,building,one of world 's largest floating farms
5104,initiatives,building,one of world 's largest farms at Tengeh Reservoir
5105,initiatives,building,one of world 's floating farms at Tengeh Reservoir in Tuas
5106,initiatives,building,one world 's largest floating solar farms
5107,initiatives,building,one of world 's farms at Tengeh Reservoir in Tuas
5108,country,deployment on,rooftops of buildings
5109,other initiatives,building,one world 's floating farms
5110,initiatives,building,one of world 's farms at Tengeh Reservoir
5111,Singapore,has,highly developed market economy based historically
5112,Singapore,has,highly developed market economy based historically on extended entrepôt trade
5113,Singapore,has,market economy based
5114,Singapore,has,highly developed market economy based historically on entrepôt trade
5115,Singapore,has,market economy based historically on entrepôt trade
5116,Singapore,has,market economy based historically
5117,Singapore,has,highly developed market economy based
5118,Singapore,has,developed market economy based on entrepôt trade
5119,Singapore,has,market economy based on entrepôt trade
5120,Singapore,has,developed market economy based historically on entrepôt trade
5121,Singapore,has,market economy
5122,Singapore,has,developed market economy based on extended entrepôt trade
5123,Singapore,has,developed market economy based historically
5124,Singapore,has,developed market economy
5125,Singapore,has,developed market economy based
5126,Singapore,has,highly developed market economy based on entrepôt trade
5127,Singapore,has,highly developed market economy based on extended entrepôt trade
5128,Singapore,has,highly developed market economy
5129,Singapore,has,market economy based historically on extended entrepôt trade
5130,Singapore,has,market economy based on extended entrepôt trade
5131,Singapore,has,developed market economy based historically on extended entrepôt trade
5132,growth rates,averaged around,6 per cent per annum
5133,growth rates,averaged around,6 per cent
5134,growth rates,transforming,living standards
5135,growth rates,transforming,living standards of population
5136,Singaporean economy,is regarded as,free
5137,economy,is,regarded
5138,Singaporean economy,is,regarded
5139,economy,is regarded as,free
5140,few countries,is with,AAA credit rating from big three
5141,Singapore,attracts,amount of investment
5142,Singapore,attracts,large amount of investment
5143,Singapore,attracts,amount
5144,Singapore,attracts,amount of foreign investment
5145,Singapore,attracts,large amount of foreign investment
5146,Singapore,attracts amount as,result
5147,Singapore,attracts,large amount
5148,Singapore,attracts amount as,result of Singapore location
5149,It,is,world 's most competitive economy with highest GDP
5150,It,is,world 's most competitive economy with GDP per capita
5151,It,is,world 's competitive economy with 2nd GDP per capita
5152,It,is,world 's competitive economy with GDP per capita
5153,It,is,world 's most competitive economy with highest GDP per capita
5154,It,is,world 's most competitive economy with GDP
5155,It,is,world 's competitive economy with 2nd GDP
5156,It,is,world 's competitive economy with highest GDP
5157,It,is,world 's economy with 2nd highest GDP
5158,It,is,world 's economy with highest GDP per capita
5159,It,is,world 's competitive economy with highest GDP per capita
5160,world,has,most competitive economy according ranking of 141 countries with 2nd highest GDP per capita
5161,World Economic Forum,according to,ranking of 141 countries
5162,It,is,world 's most competitive economy with 2nd GDP per capita
5163,It,is,world 's most competitive economy with 2nd highest GDP per capita
5164,It,is,world 's economy with 2nd highest GDP per capita
5165,It,is,world 's competitive economy
5166,It,is,world 's competitive economy with GDP
5167,It,is,world 's economy with GDP per capita
5168,It,is,world 's most competitive economy with 2nd highest GDP
5169,It,is,world 's economy with GDP
5170,It,is,world 's most competitive economy with 2nd GDP
5171,It,is,world 's competitive economy with 2nd highest GDP per capita
5172,It,is,world 's economy with 2nd GDP
5173,world 's competitive economy,is with,2nd highest GDP per capita
5174,It,is,world 's economy with highest GDP
5175,It,is,world 's economy
5176,It,is,world 's competitive economy with 2nd highest GDP
5177,It,is,world 's economy with 2nd GDP per capita
5178,It,is,world 's most competitive economy
5179,Singapore 's government operations,have,significant stake
5180,Singapore 's government operations,contributing,22 %
5181,Singapore 's government operations,contributing,22 % of GDP
5182,Singapore 's government operations,have,significant stake in economy
5183,Singapore 's government operations,have stake Despite,market freedom
5184,Singapore,has,government operations
5185,significant stake,is in,Singaporean economy
5186,Singapore 's government operations,have,stake in economy
5187,Singapore 's government operations,have,stake
5188,Singapore 's government operations,have,significant stake in Singaporean economy
5189,Singapore 's government operations,have,stake in Singaporean economy
5190,Singapore,is location for,conferences
5191,Singapore,is,location
5192,Singapore,is,popular location
5193,Singapore,is popular location for,conferences
5194,Singapore,is,popular
5195,currency,is,Singapore dollar issued by Monetary Authority of Singapore
5196,Singapore dollar,issued by,Monetary Authority Singapore
5197,Singapore,of Authority is,MAS
5198,currency,is,Singapore dollar issued
5199,currency,is,Singapore dollar
5200,Singapore dollar,issued by,Monetary Authority
5201,currency,is,Singapore dollar issued by Monetary Authority
5202,It,is interchangeable with,Singapore dollar issued
5203,It,is interchangeable with,Singapore dollar issued at value since 1967
5204,It,is interchangeable with,Singapore dollar issued at value
5205,Singapore,of Authority is,MAS
5206,It,is interchangeable with,Singapore dollar issued by Monetary Authority at par value
5207,It,is interchangeable with,Singapore dollar issued by Monetary Authority of Singapore at par value
5208,It,is interchangeable with,Singapore dollar issued at par value
5209,It,is interchangeable with,Singapore dollar issued by Monetary Authority of Singapore at value
5210,It,is,interchangeable
5211,It,is interchangeable with,Singapore dollar issued at par value since 1967
5212,It,is interchangeable with,Singapore dollar issued by Monetary Authority of Singapore at value since 1967
5213,It,is interchangeable with,Singapore dollar issued by Monetary Authority
5214,It,is interchangeable with,Singapore dollar issued by Monetary Authority at par value since 1967
5215,It,is interchangeable with,Singapore dollar issued by Monetary Authority at value since 1967
5216,It,is interchangeable with,Singapore dollar issued by Monetary Authority of Singapore
5217,It,is interchangeable with,Singapore dollar issued by Monetary Authority at value
5218,It,is interchangeable with,Singapore dollar issued by Monetary Authority of Singapore at par value since 1967
5219,It,is interchangeable with,Singapore dollar
5220,It,is interchangeable with,Singapore dollar issued since 1967
5221,It,is interchangeable with,Singapore dollar issued by Monetary Authority since 1967
5222,It,is interchangeable with,Singapore dollar issued by Monetary Authority of Singapore since 1967
5223,Singapore dollar exchange rate,rise within,undisclosed trading band
5224,Singapore dollar exchange rate,rise within,trading band
5225,MAS,manages,MAS monetary policy
5226,MAS,allowing,rise within undisclosed trading band
5227,MAS,manages MAS policy,allowing
5228,MAS,allowing,rise
5229,MAS,allowing,Singapore dollar exchange rate
5230,MAS,allowing,rise within trading band
5231,MAS,manages,MAS policy
5232,Singapore,has,world 's eleventh foreign reserves
5233,Singapore,has,world 's eleventh reserves
5234,Singapore,has,world 's eleventh largest reserves
5235,Singapore,has,world 's eleventh largest foreign reserves
5236,world,has,eleventh largest foreign reserves
5237,country,has,has identified as tax haven for wealthy
5238,country,has,In recent years has identified as tax haven
5239,country,has,has identified as increasingly popular tax haven for wealthy
5240,country,has,In recent years has identified as popular tax haven
5241,country,has,has identified
5242,country,has,In years has identified as increasingly popular tax haven for wealthy
5243,country,has,In years has identified as popular tax haven for wealthy
5244,country,has,In years has identified as tax haven for wealthy
5245,country,has,has identified as increasingly popular tax haven
5246,country,has,In recent years has identified as tax haven for wealthy
5247,country,has,In years has identified
5248,country,has,In recent years has identified
5249,country,has,In years has identified as popular tax haven
5250,country,has,In recent years has identified as increasingly popular tax haven for wealthy
5251,country,has,In years has identified as increasingly popular tax haven
5252,country,has,has identified as popular tax haven
5253,country,has,In recent years has identified as popular tax haven for wealthy
5254,country,has,has identified as tax haven
5255,country,has,has identified as popular tax haven for wealthy
5256,country,has,In years has identified as tax haven
5257,country,has,In recent years has identified as increasingly popular tax haven
5258,multi-billionaire Facebook co-founder Eduardo Saverin,are,two examples of individuals
5259,Australian millionaire retailer Brett Blundy,are,two examples
5260,millionaire retailer Brett Blundy,are,two examples of wealthy individuals
5261,Facebook co-founder Eduardo Saverin,are,two examples of individuals
5262,multi-billionaire Facebook co-founder Eduardo Saverin,are,two examples
5263,Australian retailer Brett Blundy,are,two examples of individuals
5264,millionaire retailer Brett Blundy,are,two examples
5265,Australian millionaire retailer Brett Blundy,are,two examples of wealthy individuals
5266,retailer Brett Blundy,are,two examples
5267,Australian millionaire retailer Brett Blundy,are,two examples of individuals
5268,Saverin,is in,2012
5269,Australian retailer Brett Blundy,are,two examples of wealthy individuals
5270,Blundy,is in,2013
5271,Facebook co-founder Eduardo Saverin,are,two examples
5272,retailer Brett Blundy,are,two examples of individuals
5273,millionaire retailer Brett Blundy,are,two examples of individuals
5274,retailer Brett Blundy,are,two examples of wealthy individuals
5275,Australian retailer Brett Blundy,are,two examples
5276,multi-billionaire Facebook co-founder Eduardo Saverin,are,two examples of wealthy individuals
5277,Facebook co-founder Eduardo Saverin,are,two examples of wealthy individuals
5278,Economic Co-operation,for Organisation is,OECD
5279,Straits Times,reported In,August 2016
